,equations,Solution
0,x=316+230*(6-1),1466
1,x=(24+24*150%)/(1-(1/6)-(1/6)*150%-(1/4)),180
2,x=16*4/2,32
3,x=28.4*1.4,39.76
4,x=(10.6-0.4*5.5)/2.1,4
5,x=(350-280)/700,10
6,x=28/2,14
7,x=70*6/4,105
8,x=1680/(7/8)/(5/6),2304
9,x=24-(24-4)*(3/8)-4,12.5
10,x=3120/(3120/48+15),39
11,x=(450-25-45*5)/5,40
12,x=(111*66-185*8)/37,158
13,x=15-4,11
14,x=25*3+10,85
15,x=4500*2-1000,8000
16,x=(25+14)/(1-(1/5)-(1/5)),65
17,x=16.5*2.1/5,6.93
18,x=3*12+7,43
19,x=(25+23)/8,6
20,x=20-(20*5-70)/(5+1),15
21,x=(140*30+480)/40,117
22,x=112/(1+12%),100
23,x=390/(1-40%),650
24,x=0.01*72,0.72
25,x=50*12*3,1800
26,x=36*(1-(5/9))/(1-(11/19))-36,2
27,x=1800*3.33%*3,179.82
28,x=(5-1.5)/0.35,10
29,x=5.6/0.8*2.5,17.5
30,x=(1/7)+(2/7)+(1/7),((4)/(7))
31,x=35/((2/3)+45%-1),300
32,x=10.8/(24-18),1.8
33,x=(1-1/9*3)/(1/6),4
34,x=2000+2000*2.25%*2,2090
35,x=1200*(1/4),300
36,x=84*((1)/(1+20)),4
37,x=(36-5)*3,93
38,x=50*(18+22),2000
39,x=1+(1/4),((5)/(4))
40,x=24/(2/5),60
41,x=(3.5+2.7)+3.5,9.7
42,x=1600*(1+(3/10))*(1-(1/5)),1664
43,x=12/3,4
44,x=480/3,160
45,x=(50+70)/(1/4),480
46,x=50+20/2,60
47,x=(38-22)/(1/9),144
48,x=23*42+26*40,2006
49,x=61.75/0.95-61.75,3.25
50,x=1993+1994+1995+1996+1997+1998+1999+2000,15972
51,x=24*19+19,475
52,x=2070/15-65,73
53,x=182/(20-18),91
54,x=1-(1/3)-(1/5),((7)/(15))
55,x=18-3-7,8
56,x=(24-6)/2,9
57,x=8*(3/4),6
58,x=180*13,2340
59,x=(75.5+65.5)*4.5,634.5
60,x=3.14*3*100/2,471
61,x=25+52,77
62,x=15/(4-1)*4,20
63,x=1000+1000*5.74%*3,1172.2
64,x=(29-5)/1.5+4,20
65,x=50*68%,34
66,x=[490-50*(4+1)]/4,60
67,x=8*4.5,36
68,x=91/(2+5)*(5-2),39
69,x=120/(3/4)/(4/5),200
70,x=(510-40*6)/6,45
71,x=(24/33)/6,((4)/(33))
72,x=171/(247/13),9
73,x=1850*(1-20%),1480
74,x=(1998*1.6-3059.6)/(18+1.6),7
75,x=800*(3/4),600
76,x=(185+65)*3,750
77,x=30/[1-37.5%-(1-37.5%)*40%],80
78,x=5.2*8/4,10.4
79,x=(145+5)/(5/6),180
80,x=(80*20%)/8%-80,120
81,x=(384-64)/(38+42),4
82,x=3000*(1-10%)*(1-5%),2565
83,x=1.09*140,152.6
84,x=36000*(1+(1/4)),45000
85,x=150*2-50,250
86,x=120/4-14,16
87,x=585/0.9,650
88,x=((10/3)+(1/3))-((5/6)+(4/5)),((61)/(30))
89,x=568/(154+130),2
90,x=30/((2/5)+75%-1)+30,230
91,x=30*(4/5)*(3/4),18
92,x=9-(6-2),5
93,x=5*7+3,38
94,x=72/5*4*10,576
95,x=288/32,9
96,x=23*7+3,164
97,x=45*8+42*8,696
98,x=(125-100)/100,25%
99,x=(250-30*3)/40,4
100,x=90*(1/3)/(1/4),120
101,x=192/32-192/48,2
102,x=2.2/((5/6)-(3/8))*(3/8),1.8
103,x=(270-30)/(2/3),360
104,x=(4/5)*(3/4)*(1/6),((1)/(10))
105,x=75/15,5
106,x=21*20/28,15
107,x=46-(12+23-5),16
108,x=12/(2/7),42
109,x=136*2-16,256
110,x=45*4/60,3
111,x=420.08*2.3-420.08,546.104
112,x=18-360*18/(360+72),3
113,x=72.6/3/4,6.05
114,x=4.5/1.5,3
115,x=42*3-18-42,66
116,x=(550-52*3.5)/4,92
117,x=30.4*7/(7-3),53.2
118,x=60/((3/5)-20%),150
119,x=15/(1-((3)/(2+3))-30%),150
120,x=9*105-850,95
121,x=(120-45)/5,15
122,x=3600/(1+(1/8)),3200
123,x=1*(4/7)/4,((1)/(7))
124,x=54/(9/14),84
125,x=90+90*3,360
126,x=(9-1)*80,640
127,x=3.6/((1/4)+20%),8
128,x=240/60%-240,160
129,x=120*(5/6)*(2/5),40
130,x=25/(((3)/(3+7))-((1)/(1+4))),250
131,x=800*(1-20%),640
132,x=1800/(1+(2/3))*(2/3),720
133,x=2/(2+200),((1)/(101))
134,x=35/5*10,70
135,x=12*(3/4)+12,21
136,x=4/(16+4),20%
137,x=540/(360/8),12
138,x=2000-128*15,80
139,x=(48-3)/5,9
140,x=63/(1+(4/5)),35
141,x=8*6*(4.2-4)/(3*2),1.6
142,x=(1900-1600)*5%,15
143,x=312/13/4,6
144,x=67.5/5/3,4.5
145,x=240*(1/6),40
146,x=24/10*15,36
147,x=30000+30000*3.14%*5,34710
148,x=2400-2400*(1/4)-(2400-2400*(1/4))*(1/3),1200
149,x=1/(9/7)-(6/7)/(6/5),((4)/(63))
150,x=32*(124-86),1216
151,x=30*6.83,204.9
152,x=301/350,86%
153,x=3.6*5/4.5,4
154,x=180*(1-95%),9
155,x=217/3.5*(3.5+4.5),496
156,x=98.7-14.7+98.7,182.7
157,x=1092-389,703
158,x=(5/8)/(4+1),((1)/(8))
159,x=1050*(1-60%)/2.8-80,70
160,x=30/(1-40%)-48,2
161,x=538/(1-(3/5))*(3/5),807
162,x=402*8+6,3222
163,x=25+9+(25*2+10),94
164,x=(110+120)*15,3450
165,x=32+(32+17)+25,106
166,x=825*(2/5)*(1+(1/11)),360
167,x=1-(1/5),((4)/(5))
168,x=(320-168/6)*18,5256
169,x=(26+17)*25,1075
170,x=(2000-350*3)/2,475
171,x=40*40,1600
172,x=8/40%*25%,5
173,x=36/40,90%
174,x=1/((7/13)+1),((13)/(20))
175,x=(15*4)/(1-(3/5)),150
176,x=3.14*4*10,125.6
177,x=138/6-160/8,3
178,x=32*8+5,261
179,x=6/12%,50
